TA,category,phase,total_phase_transitions,POS,SE
Genitourinary,All,Phase 3 to approval,212,66.5,3.2
Infectious disease,No biomarker,Phase 3 to approval,1069,75.1,1.3
Infectious disease,With biomarker,Phase 3 to approval,9,100,0
Infectious disease,All,Phase 3 to approval,1078,75.3,1.3
Ophthalmology,No biomarker,Phase 3 to approval,207,74.9,3
Ophthalmology,With biomarker,Phase 3 to approval,0,NA,NA
Ophthalmology,All,Phase 3 to approval,207,74.9,3
Vaccines (infectious disease),No biomarker,Phase 3 to approval,609,85.4,1.4
Vaccines (infectious disease),With biomarker,Phase 3 to approval,0,NA,NA
Vaccines (infectious disease),All,Phase 3 to approval,609,85.4,1.4
Overall,No biomarker,Phase 3 to approval,7409,59,0.6
Overall,With biomarker,Phase 3 to approval,123,60.2,4.4
Overall,All,Phase 3 to approval,7532,59,0.6
Oncology,No biomarker,Overall,NA,1.6,0.2
Oncology,With biomarker,Overall,NA,10.7,1.9
Oncology,All,Overall,NA,2.1,0.2
Metabolic/endocrinology,No biomarker,Overall,NA,7.9,0.8
Metabolic/endocrinology,With biomarker,Overall,NA,5.7,13.9
Metabolic/endocrinology,All,Overall,NA,7.8,0.8
Cardiovascular,No biomarker,Overall,NA,9.3,1
Cardiovascular,With biomarker,Overall,NA,85.7,13.2
Cardiovascular,All,Overall,NA,9.5,1
CNS,No biomarker,Overall,NA,6.2,0.6
CNS,With biomarker,Overall,NA,8.3,6.4
CNS,All,Overall,NA,6.3,0.6
Autoimmune/inflammation,No biomarker,Overall,NA,6.3,0.6
Autoimmune/inflammation,With biomarker,Overall,NA,11.9,16.8
Autoimmune/inflammation,All,Overall,NA,6.3,0.6
Genitourinary,No biomarker,Overall,NA,6.6,1.5
Genitourinary,With biomarker,Overall,NA,NA,NA
Genitourinary,All,Overall,NA,6.7,1.5
Infectious disease,No biomarker,Overall,NA,10.4,0.9
Infectious disease,With biomarker,Overall,NA,29.6,16.8
Infectious disease,All,Overall,NA,10.5,0.9
Ophthalmology,No biomarker,Overall,NA,13.6,2.8
Ophthalmology,With biomarker,Overall,NA,NA,NA
Ophthalmology,All,Overall,NA,13.5,2.8
Vaccines (infectious disease),No biomarker,Overall,NA,11.4,1.3
Vaccines (infectious disease),With biomarker,Overall,NA,NA,NA
Vaccines (infectious disease),All,Overall,NA,11.4,1.3
Overall,No biomarker,Overall,NA,5.5,0.2
Overall,With biomarker,Overall,NA,10.3,1.6
Overall,All,Overall,NA,5.7,0.2
